Предназночение;Бренд;Название продукта;Ценовой сегмент;Возрастная категория;Ингредиенты;Тип состава;Комбинированная;Сухая кожа;Нормальная;Жирная;Чувствительная;Проблемная кожа;Универсальность;Оценка;Категория эффективности;Кластер;split
Увлажнение;LA MER;Creme de la Mer;Высокий;18+;Экстракт водорослей (водорослей), минеральное масло, вазелин, глицерин, изогексадекан, микрокристаллический воск, ланолиновый спирт, экстракт Citrus Aurantifolia (лайм), масло семян Sesamum Indicum (кунжут), масло листьев эвкалипта шаровидного (эвкалипта), порошок семян Sesamum Indicum (кунжут), Medicago Sativa (Люцерна) Порошок семян, жмых Helianthus Annuus (подсолнечник), мука из семян Prunus Amygdalus Dulcis (сладкий миндаль), глюконат натрия, глюконат меди, глюконат кальция, глюконат магния, глюконат цинка, сульфат магния, парафин, токоферилсукцинат, ниацин, вода, бета-каротин, децил Олеат, дистеарат алюминия, октилдодеканол, лимонная кислота, цианокобаламин, стеарат магния, пантенол, лимонен, гераниол, линалоол, гидроксицитронеллаль, цитронеллол, бензилсалицилат, цитраль, бензоат натрия, денат. спирта, ароматизатор.;Натуральный;1;1;1;1;1;0;0,83;4,1;Средняя;Группа1;test
Увлажнение;SK-II;Facial Treatment Essence;Высокий;18+;Фильтрат фермента Galactomyces (Питера), бутиленгликоль, пентиленгликоль, вода, бензоат натрия, метилпарабен, сорбиновая кислота.;Химический;1;1;1;1;1;0;0,83;4,1;Средняя;Группа1;test
Увлажнение;LA MER;The Moisturizing Soft Cream;Высокий;18+;Экстракт водорослей (морских водорослей), циклопентасилоксан, вазелин, глицерилдистеарат, фенилтриметикон, бутиленгликоль, гидрогенизированное растительное масло, холестерин, Butyrospermum Parkii (масло ши), стеарет-10, диметикон, глицерилстеарат Se, полисиликон-11, семена кунжута (кунжута). масло, порошок семян Medicago Sativa (люцерна), жмых Helianthus Annuus (подсолнечник), мука из семян Prunus Amygdalus Dulcis (сладкий миндаль), масло листьев эвкалипта шаровидного (эвкалипта), глюконат натрия, глюконат меди, глюконат кальция, глюконат магния, глюконат цинка, токоферилсукцинат, Ниацин, порошок семян Sesamum Indicum (кунжут), вода, экстракт кожуры Citrus Aurantifolia (лайм), экстракт Laminaria Digitata, экстракт Crithmum Maritimum, экстракт Salicornia Herbacea, экстракт планктона, экстракт хлореллы обыкновенной, экстракт семян Glycine Soja (соевые бобы), глицерин, кофеин, морская соль / марис. Sal/Sel Marin, лизат микрококка, диэтилгексилсукцинат, аденозинфосфат, креатин, гидролизованный альгин, изоцетилстеароилстеарат, цетиловый спирт, сахароза, ацетилгексапептид-8, глюкозооксидаза, полиакриламид, ацетилкарнитин гидрохлорид, глюкоза, каприловый/каприновый триглицерид, C13-14 изопарафин, токоферилацетат, тетрагексилдецил аскорбат, натрий Pca, гликозаминогликаны, мочевина, дистеарилдимония хлорид, дипальмитоилгидроксипролин, гиалуронат натрия, лаурет-7, лецитин, трегалоза, поликватерниум-51, лактопероксидаза, Гидроксипропилциклодекстрин, цианокобаламин, пентиленгликоль, ароматизаторы, динатрий Эдта, Bht, цитронеллол, гидроксицитронеллаль, гераниол, линалоол, лимонен, сорбат калия, феноксиэтанол.;Смешанный;1;1;1;1;1;0;0,83;3,8;Средняя;Группа1;train
Увлажнение;IT COSMETICS;Your Skin But Better™ CC+™ Cream with SPF 50+;Средний;18+;Вода, фильтрат секрета улитки, фенилтриметикон, диметикон, бутиленгликоль, дикаприлат/дикапрат бутиленгликоля, масло семян орбигнии масличной, бутилоктилсалицилат, цетилпег/Ppg-10/1 диметикон, циклопентасилоксан, циклогексасилоксан, сульфат магния, Полиглицерил-4-изостеарат, кроссполимер диметикона/винилдиметикона, гидроксид алюминия, гексиллаурат, стеариновая кислота, стеарат кальция, каприлилгликоль, триэтоксикаприлилсилан, этилгексилглицерин, масло для кожуры Citrus Medica Limonum (лимон), токоферилацетат, сорбитан. Изостеарат, феноксиэтанол, фруктовое масло Citrus Aurantium Bergamia (бергамот), 1,2-гександиол, динатрий Эдта, масло кожуры Citrus Aurantium Dulcis (апельсин), масло Citrus Aurantifolia (лайм), масло семян Vitis Vinifera (виноград), масло семян Punica Granatum, масло листьев Pinus Sylvestris, Persea Масло Gratissima (авокадо), ниацинамид, масло кожуры Citrus Grandis (грейпфрут), холестерин, цветочная вода Anthemis Nobilis, Lactobacillus/цветки жимолости/корень солодки/корень Morus Alba/корень пуэрарии дольчатой/плоды лимонника китайского/корень шлемника байкальского/экстракт цветков софоры японской, фильтрат фермента, Перфторгексан, экстракт листьев Olea Europaea (оливкового), глицерин, масло листьев эвкалипта шаровидного, экстракт листьев камелии китайской, экстракт цветков хризантемы индийской, экстракт корня пуэрарии дольчатой, перфтордекалин, экстракт плодов Morus Alba, экстракт коры магнолии кобус, ростки глициновой сои (сои). Экстракт, экстракт листьев диоспироса каки, экстракт коры корицы кассии, экстракт листьев полыни принцепс, пентафторпропан, экстракт корня куркумы длинной (куркумы), стеарет-20, гидролизованная гиалуроновая кислота, коллоидная овсянка, гидролизованный шелк, лимонная кислота, бензоат натрия, сорбат калия, алоэ. Экстракт листьев барбаденсиса, N-гидроксисукцинимид, гидролизованный коллаген, каприлгидроксамовая кислота, токоферол, тиамин гидрохлорид, рибофлавин, ретинилпальмитат, пантотеновая кислота, пальмитоилолигопептид, ниацин, фолиевая кислота, хризин, карнитин гидрохлорид, биотин, аскорбиновая кислота, пальмитоил. Тетрапептид-7, хлоргексидина диглюконат. Может содержать: оксиды железа (Ci 77492, Ci 77491, Ci 77499).;Смешанный;1;1;1;1;1;0;0,83;4,1;Средняя;Группа1;train
Увлажнение;TATCHA;The Water Cream;Высокий;18+;Вода, Saccharomyces/лист Camellia Sinensis/Cladosiphon Okamuranus/фильтрат рисового фермента*, диметикон, пропандиол, глицерин, диглицерин, дифенилсилоксифенилтриметикон, золото, экстракт корня Belamcanda Chinensis, экстракт плодов Rosa Multiflora, экстракт Houttuynia Cordata, корень софоры узколистной Экстракт, гиалуронат натрия, лецитин, камедь фисташки чечевичной (мастика), хлорид натрия, цитрат натрия, слюда, полидиметилсилоксиэтилдиметикон ПЭГ-9, кроссполимер диметикон/ПЭГ-10/15, кроссполимер диметикон/фенилвинилдиметикон, динатрий Эдта, оксид олова, диоксид титана, Бутиленгликоль, этилгексилглицерин, парфюмерная композиция, спирт, феноксиэтанол. *Хадасей-3.;Смешанный;1;0;1;1;1;0;0,67;4,2;Средняя;Группа1;test
Увлажнение;KIEHL'S SINCE 1851;Ultra Facial Cream;Средний;18+;Вода, глицерин, циклогексасилоксан, сквалан, метиловый эфир бис-ПЭГ-18, диметилсилан, стеарат сахарозы, стеариловый спирт, стеарат ПЭГ-8, мочевина, миристилмиристат, пентаэритритилтетраэтилгексаноат, масло ядра Prunus Armyca, феноксиэтанол, масло Persea Gratissima, олеа. Масло Europaea, масло отрубей Oryza Sativa, цетиловый спирт, глицерилстеарат, экстракт корня императы цилиндрической, стеариновая кислота, метилпарабен, хлорфенезин, пальмитиновая кислота, динатриевая соль Эдта, акрилаты/C10-30 алкилакрилатный кроссполимер, пропилпарабен, карбомер, триэтаноламин, чернослив Масло Amygdalus Dulcis, ксантановая камедь, гидроксид натрия, токоферол, экстракт фермента Pseudoalteromonas, гидроксипальмитоилсфинганин, каприлилгликоль.;Смешанный;1;1;1;1;1;0;0,83;4,4;Высокая;Группа3;test
Увлажнение;LA MER;Little Miss Miracle Limited-Edition Creme de la Mer;Высокий;18+;Экстракт водорослей (водорослей), минеральное масло, вазелин, глицерин, изогексадекан, микрокристаллический воск, ланолиновый спирт, экстракт Citrus Aurantifolia (лайм), масло семян Sesamum Indicum (кунжут), масло листьев эвкалипта шаровидного (эвкалипта), порошок семян Sesamum Indicum (кунжут), Medicago Sativa (Люцерна) Порошок семян, жмых Helianthus Annuus (подсолнечник), мука из семян Prunus Amygdalus Dulcis (сладкий миндаль), глюконат натрия, глюконат меди, глюконат кальция, глюконат магния, глюконат цинка, сульфат магния, парафин, токоферилсукцинат, ниацин, вода, бета-каротин, децил Олеат, дистеарат алюминия, октилдодеканол, лимонная кислота, цианокобаламин, стеарат магния, пантенол, лимонен, гераниол, линалоол, гидроксицитронеллаль, цитронеллол, бензилсалицилат, цитраль, бензоат натрия, денат. спирта, ароматизатор.;Натуральный;0;0;0;0;0;0;0;5;Средняя;Группа2;train
Увлажнение;KIEHL'S SINCE 1851;Midnight Recovery Concentrate;Средний;18+;Каприловый/каприновый триглицерид, дикаприлилкарбонат, сквалан, фруктовое масло Rosa Canina, масло Oenothera Biennis, масло вечерней примулы, масло Simmondsia Chinensis, масло семян жожоба, масло Coriandrum Sativum, масло семян кориандра, токоферол, масло Lavandula Angustifolia, лавандовое масло, цветочное масло Pelargonium Graveolens, линалоол, масло листьев Rosmarinus Officinalis, Масло листьев розмарина, цитронеллол, гераниол, масло лаванды гибрида, экстракт Cucumis Sativus, экстракт плодов огурца, экстракт Curcuma Longa, экстракт корня куркумы, лимонен, цитраль склареолид Rosa Spp, масло цветов розы, экстракт жасмина лекарственного, экстракт жасмина, масло семян Helianthus Annuus, масло семян подсолнечника.;Натуральный;1;1;1;1;1;0;0,83;4,4;Высокая;Группа3;test
Увлажнение;BELIF;The True Cream Aqua Bomb;Средний;18+;Вода, дипропиленгликоль, глицерин, метилтриметикон, денат спирта, диметикон, циклопентасилоксан, 1,2-гександиол, экстракт малакита, каприловый/каприновый триглицерид, пентаэритриттетраэтилгексаноат, ПЭГ/ППГ/полибутиленгликоль-8/5/3 глицерин, Alchemilla Экстракт листьев Vulgaris*, Экстракт листьев Equisetum Arvense*, Экстракт Stellaria Media (песчанка)*, Экстракт листьев Urtica Dioica (крапивы)*, Экстракт листьев Plantago Lanceolata*, Экстракт ядра Avena Sativa (овса)**, Экстракт цветков Calendula Officinalis**, Экстракт Nepeta Cataria**, Экстракт листьев Rubus Idaeus (Малина)**, Экстракт корня Baptisia Tinctoria**, диметиконол, полиметилсилсесквиоксан, кроссполимер акрилат натрия/акрилоилдиметилтаурат/диметилакриламид, изогексадекан, полисорбат 60, церамид 3, холестерин, масло Butyrospermum Parkii (ши), фенлтриметикон, пентаэритритил Тетраизостеарат, пантенол, сквалан, триэтилгексаноин, масло семян макадамии тернифолиевой, ПЭГ-150, гидрогенизированное касторовое масло ПЭГ-40, акрилаты/C10-30 алкилакрилатный кроссполимер, спирты C14-22, арахидил глюкозид, гидрогенизированный лецитин, стеарат ПЭГ-100, стеариновая кислота, Глицерил Стеарат, карбомер, трометамин, тринатрий ЭДТА, ароматизатор+, цитронеллол, лимонен, цитраль, гераниол, линалоол. *Аква-формула Napiers. **Оригинальная формула Napiers. +Ароматы натурального происхождения.;Смешанный;1;0;1;1;0;0;0,5;4,5;Средняя;Группа3;train
Увлажнение;SUNDAY RILEY;Luna Sleeping Night Oil;Высокий;18+;Масло Persea Gratissima (экстра вирджин, авокадо холодного отжима), масло семян Vitis Vinifera (органическое, виноград Конкорд холодного отжима), масло семян Rubus Fruticosus (ежевика холодного отжима), масло Salvia Hispanica (чиа холодного отжима), диметилизосорбид (и) гидроксипинаколона ретиноат, цветочное масло Chamomilla Recutita (Matricaria), танецетум масло annuum (голубая пижма), масло Anthemis nobilis (английская ромашка), масло Eriocephalus punctulatus (капская ромашка), масло Citrus Aurantium Amara (нероли), масло Citrus Aurantium Dulcis (кровавый апельсин), масло цветка Cananga Odorata (иланг-иланг), масло Vetivera zizanoides (ветивер), подсолнечник Масло семян Annuus (подсолнечника) (и) экстракт листьев Rosmarinus officinalis (розмарина), CI 61565 (Зеленый 6), CI 60725 (Фиолетовый 2).;Натуральный;1;1;1;1;1;0;0,83;4,1;Средняя;Группа1;train
